Organisation,Name of Project,Project Description,Link,Category,Region,Language,Ongoing/completed,Photo/Pic,project-slug,notNetwork
ISKME,OER Commons,"OER Commons is a digital public library of freely available and openly licensed educational resources. Educators and learners can search and discover a wide range of high-quality educational materials for all levels of formal and informal education. The platform also hosts Open Author for educators to author, remix, and adapt existing resources. Current initiatives underway are geared towards increasing the interoperability and portability of OER content and metadata across libraries globally.",www.oercommons.org,Open Education,Global,English,Ongoing,ISKME.png,oer-commons,Y
,Vocdoni,"Vocdoni is a blockchain-based platform designed to facilitate secure and anonymous voting and decision-making processes. It aims to provide a decentralized, open-source and tamper-resistant way to conduct elections, polls, and other forms of digital voting. Vocdoni combines blockchain technology with cryptographic techniques to ensure the integrity and privacy of votes.",https://vocdoni.io/,"Open Elections,Civic Tech,Digital Public Infrastructure",Spain,English,Ongoing,vocdoni-imagotype.svg,vocdoni,Y
Misión de Observación Electoral MOE,Datos Electorales Colombia,"All data about elections in Colombia. From candidates and historical elections results to electoral risk maps.",https://datoselectorales.org,"Open Elections,Digital Public Infrastructure",Colombia,"Spanish,English",Ongoing,Logo_MOE_Colombia.png,datos-electorales-colombia,Y
La Silla Vacía,Elecciones 2023,"Local elections in Colombia. Many candidates, hard to track them. This interactive tools helps with candidate recommendations.",https://www.lasillavacia.com/elecciones-2023/,"Open Elections,Digital Public Infrastructure",Colombia,"Spanish,English,Portuguese",Ongoing,la-silla-vacia-logo.png,la-silla-vacia-logo,Y
Dataful,Politipro,"An interactive information hub on Bangladeshi politicians who either won or was closest candidate in Bangladesh parliamentary election since 2008.",http://dataful.xyz/politipro,"Open Elections,Digital Public Infrastructure,Civic Tech",Bangladesh,Bangla,Ongoing,Dataful-Logo.png,politipro,Y  
Punch Up, WeVis Election '66,"In the framework of the 2023 general elections in Thailand, this initiative aimed to empower voters with the insights, essential election-centric data and information they need to make informed choices on election day while nurturing productive societal discourse. Two websites were created, aimed at delivering comprehensive information to voters for the 2023 election: 'Your Candidates' (https://election66.wevis.info/yourcandidates) and 'Policy Shop' (https://election66.wevis.info/policyshop). In order to provide voters and the press with valuable resources to foster meaningful discussions based on pertinent data, the simulator 'Election SIM'(https://election66.wevis.info/electionsim) was developed",https://election66.wevis.info,"Open Elections,Civic Tech",Thailand,Thai,Ongoing,logo-black.svg,wevis-election66,Y
National Democratic Institute,Open Election Data Initiative,"The National Democratic Institute (NDI) launched the Open Election Data Initiative (OEDI) to equip civil society, election administrators and technologists with the concepts and tools to effectively advocate for, implement and use election data that is truly open. The initiative identifies nine open election data principles (truly open election data is timely, granular, available for free on the internet, complete and in bulk, analyzable, non-proprietary, non-discriminatory, license-free and permanently available) and outlines the types of data and what open data may look like throughout 16 different stages of an election process, from the pre-election period through election day and into the post-election period.",https://openelectiondata.net/en/,"Open Elections,Open Data",Global,"English,Spanish,French,Arabic,Ukrainian,Burmese",Ongoing,oedi-logo-white.png,oedi,Y
Southern African Institute for Policy and Research,SEDROBZ,"The Support to the Electoral Dispute Resolution Oversight and Capacity Building Zambia (SEDROBZ) was established in 2021 with the stated aim of assessing the compliance of Election Dispute Resolution (EDR) mechanisms to regional and international standards that govern electoral justice. One of the signature initiatives of the SEDROBZ project is the tracking of election petitions filed after the 2021 elections. Between August 2021 and November 2021, SEDROBZ tracked all election petitions filed at the parliamentary and local government level on what it termed an EDR Tracker.",https://www.sedrobz.org/,Open Elections,Zambia,English,Ongoing,sedrobz-logo.png,sedrobz,Y
FundAr,electorAr,"Herramientas que facilitan el acceso y el trabajo con datos electorales de Argentina desde R",https://politicaargentina.github.io/electorAr/,"Open Elections,Open Data",Argentina,Spanish,Ongoing,electorar-logo.png,electorar,Y
Indonesia Corruption Watch,Rekam Jejak,"The rekamjejak(dot)net provides track record of elected public officials and candidates, especially in regards to their anti-corruption stance. The vision is to provide an open data with high accuracy that can be accessed publicly, that provides information about every public officials track records. Currently, the available data is still limited to MPs and MP's candidates profile. The majority of information in the platform is still generated manually, but the general public can also provide information, which will later be verified.",https://www.rekamjejak.net/,"Open Elections",Indonesia,Indonesian Language,Ongoing,rekamjejak-logo.png,rekamjejak,Y
Dirección Nacional Electoral,Historical Election Results API,"The Results Publication application provides an OpenAPI v3 compatible API that can be queried to obtain electoral data that is available programmatically. It currently contains national electoral results from 2011 to the present. The technical documentation of the API can be obtained at https://www.argentina.gob.ar/sites/default/files/2017/08/api-publicacion-resultados-electorales.zip so that it can be used in an API editor ( Postman, Insomnia, Swagger, etc). Additionally, an Insomnia collection is offered with the API specification and some example queries. At the URL https://resultados.mininterior.gob.ar/desarrollo you can see a video on how to import, select and execute queries.",https://resultados.mininterior.gob.ar/desarrollo,"Open Elections,Open Data",Argentina,"English,Spanish",Ongoing,dine-logo.png,dine-api-results,Y
Dirección Nacional Electoral,	Electoral Data Preservation Standard,"The Electoral Data Preservation Standard defines formats, fields, and usage conventions that apply to national election results. Goals: 1. Define the definitive storage format for electoral data in order to preserve the information in a standard, simple way, with easy access and processing. 2. Define the format for the delivery of provisional data from the National Elections. This project begins from the need to organize and standardize the provisional electoral data of the DINE.", https://resultados.mininterior.gob.ar/desarrollo,"Open Elections,Open Data",Argentina,"Spanish,English",Ongoing,dine-logo.png,data-preservation-standard,Y
Digital Access,"Cameroon Open Data Elections (CODE)","The Cameroon Open Data Elections (CODE) aims to promote open data in past and future elections in Cameroon. This is a project of research, analysis and compilation of data on electoral targets, electoral districts, candidates in the running and means of action. Specifically, the project aims to build a web platform and a mobile application for open data to provide information on the various elections in Cameroon and contribute to democracy through open information. The platform and the application are equipped with election monitoring tools through mapping to allow you to add data, report abuse, report fraud or identify all types of problems related to the election. The platform will have an interface for exchanges and discussions with other users and options for interacting with candidates on social networks.",http://digital-access.org/2023/12/code/,"Open Elections,Open Data",Cameroon,French,Ongoing,logo-digital-access.png ,code,Y
,CiviCue,"civicue.com is building a civic media platform as a decentralized autonomous organization (DAO) owned and managed by all users through: 1.Forging digital democracy with blockchain technology; 2.Defending data ethics with revenue sharing; 3.Promoting critical thinking with gamified learning",www.civicue.com,Taiwan,"English,Chinese",Ongoing,logo_civic_w.svg,civicue,Y
